"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 23:18:00 GMT 2025","Fri Mar 07 23:18:01 GMT 2025","596","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:18:16 GMT 2025","Fri Mar 07 23:18:18 GMT 2025","2289","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Fri Mar 07 23:18:03 GMT 2025","Fri Mar 07 23:18:13 GMT 2025","9419","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Fri Mar 07 23:18:15 GMT 2025","Fri Mar 07 23:18:16 GMT 2025","589","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:18:01 GMT 2025","Fri Mar 07 23:18:03 GMT 2025","2598","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Fri Mar 07 23:17:58 GMT 2025","Fri Mar 07 23:17:58 GMT 2025","297","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Fri Mar 07 23:18:13 GMT 2025","Fri Mar 07 23:18:15 GMT 2025","1286","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:17:59 GMT 2025","Fri Mar 07 23:18:00 GMT 2025","508","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:18:18 GMT 2025","Fri Mar 07 23:18:20 GMT 2025","2239","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Fri Mar 07 23:17:58 GMT 2025","Fri Mar 07 23:17:59 GMT 2025","472","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
