"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 23 07:32:57 GMT 2025","Sun Feb 23 07:32:58 GMT 2025","1285","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 23 07:32:59 GMT 2025","Sun Feb 23 07:32:59 GMT 2025","561","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"broken","Sun Feb 23 07:32:46 GMT 2025","Sun Feb 23 07:32:56 GMT 2025","10180","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 23 07:32:23 GMT 2025","Sun Feb 23 07:32:23 GMT 2025","377","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 23 07:32:59 GMT 2025","Sun Feb 23 07:33:01 GMT 2025","1987","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 23 07:32:23 GMT 2025","Sun Feb 23 07:32:25 GMT 2025","1661","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"broken","Sun Feb 23 07:33:44 GMT 2025","Sun Feb 23 07:34:05 GMT 2025","20250","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 23 07:32:20 GMT 2025","Sun Feb 23 07:32:20 GMT 2025","480","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
