"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 26 18:25:21 GMT 2025","Sun Jan 26 18:25:22 GMT 2025","1218","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:25:26 GMT 2025","Sun Jan 26 18:25:26 GMT 2025","5","webkit","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Jan 26 18:25:17 GMT 2025","Sun Jan 26 18:25:17 GMT 2025","602","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Jan 26 18:25:18 GMT 2025","Sun Jan 26 18:25:18 GMT 2025","391","chromium","test.spec.ts","","","","Test 1",""
"passed","Sun Jan 26 18:25:17 GMT 2025","Sun Jan 26 18:25:18 GMT 2025","598","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:25:28 GMT 2025","Sun Jan 26 18:25:28 GMT 2025","5","webkit","test.spec.ts","","","","Test 1",""
"failed","Sun Jan 26 18:25:25 GMT 2025","Sun Jan 26 18:25:25 GMT 2025","5","webkit","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Jan 26 18:25:22 GMT 2025","Sun Jan 26 18:25:23 GMT 2025","626","firefox","test.spec.ts","","","","Test 1",""
"passed","Sun Jan 26 18:25:19 GMT 2025","Sun Jan 26 18:25:21 GMT 2025","1837","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
