"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 03 17:46:23 GMT 2025","Mon Feb 03 17:46:24 GMT 2025","528","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Mon Feb 03 17:46:29 GMT 2025","Mon Feb 03 17:46:30 GMT 2025","1558","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Mon Feb 03 17:46:24 GMT 2025","Mon Feb 03 17:46:28 GMT 2025","4288","chromium","search.func.spec.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name",""
"passed","Mon Feb 03 17:46:28 GMT 2025","Mon Feb 03 17:46:28 GMT 2025","119","chromium","template.spec.ts","Test Suite Name","","","Unique Test Name",""
"passed","Mon Feb 03 17:46:31 GMT 2025","Mon Feb 03 17:46:31 GMT 2025","657","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"broken","Mon Feb 03 17:48:35 GMT 2025","Mon Feb 03 17:49:36 GMT 2025","60460","firefox","search.func.spec.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name",""
"passed","Mon Feb 03 17:49:38 GMT 2025","Mon Feb 03 17:49:38 GMT 2025","843","firefox","template.spec.ts","Test Suite Name","","","Unique Test Name",""
"passed","Mon Feb 03 17:46:22 GMT 2025","Mon Feb 03 17:46:23 GMT 2025","811","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
