"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 22:41:29 GMT 2025","Thu Mar 20 22:41:30 GMT 2025","886","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"passed","Thu Mar 20 22:41:32 GMT 2025","Thu Mar 20 22:41:34 GMT 2025","2038","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Thu Mar 20 22:41:37 GMT 2025","Thu Mar 20 22:41:38 GMT 2025","1584","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Thu Mar 20 22:41:39 GMT 2025","Thu Mar 20 22:41:40 GMT 2025","808","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Thu Mar 20 22:41:31 GMT 2025","Thu Mar 20 22:41:31 GMT 2025","714","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Thu Mar 20 22:41:40 GMT 2025","Thu Mar 20 22:41:42 GMT 2025","2572","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Thu Mar 20 22:41:42 GMT 2025","Thu Mar 20 22:41:45 GMT 2025","2185","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Thu Mar 20 22:41:32 GMT 2025","Thu Mar 20 22:41:32 GMT 2025","469","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Thu Mar 20 22:40:51 GMT 2025","Thu Mar 20 22:41:23 GMT 2025","31978","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Thu Mar 20 22:41:34 GMT 2025","Thu Mar 20 22:41:36 GMT 2025","2011","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
