"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 22:44:34 GMT 2025","Thu Mar 20 22:44:35 GMT 2025","1420","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Thu Mar 20 22:44:28 GMT 2025","Thu Mar 20 22:44:29 GMT 2025","643","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Thu Mar 20 22:44:26 GMT 2025","Thu Mar 20 22:44:26 GMT 2025","318","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Thu Mar 20 22:44:29 GMT 2025","Thu Mar 20 22:44:29 GMT 2025","609","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Thu Mar 20 22:44:36 GMT 2025","Thu Mar 20 22:44:38 GMT 2025","2174","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Thu Mar 20 22:44:31 GMT 2025","Thu Mar 20 22:44:33 GMT 2025","1681","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Thu Mar 20 22:44:29 GMT 2025","Thu Mar 20 22:44:31 GMT 2025","1982","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Thu Mar 20 22:44:27 GMT 2025","Thu Mar 20 22:44:27 GMT 2025","642","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"passed","Thu Mar 20 22:44:35 GMT 2025","Thu Mar 20 22:44:36 GMT 2025","722","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Thu Mar 20 22:44:38 GMT 2025","Thu Mar 20 22:44:40 GMT 2025","1827","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
