"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 26 18:36:05 GMT 2025","Sun Jan 26 18:36:16 GMT 2025","11063","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Jan 26 18:38:10 GMT 2025","Sun Jan 26 18:38:11 GMT 2025","1277","firefox","test.spec.ts","","","","Test 1",""
"failed","Sun Jan 26 18:37:57 GMT 2025","Sun Jan 26 18:38:08 GMT 2025","11404","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:38:13 GMT 2025","Sun Jan 26 18:38:13 GMT 2025","5","webkit","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:36:40 GMT 2025","Sun Jan 26 18:36:51 GMT 2025","11075","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Jan 26 18:36:52 GMT 2025","Sun Jan 26 18:36:52 GMT 2025","617","chromium","test.spec.ts","","","","Test 1",""
"failed","Sun Jan 26 18:37:18 GMT 2025","Sun Jan 26 18:37:30 GMT 2025","11369","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:38:16 GMT 2025","Sun Jan 26 18:38:16 GMT 2025","5","webkit","test.spec.ts","","","","Test 1",""
"failed","Sun Jan 26 18:38:15 GMT 2025","Sun Jan 26 18:38:15 GMT 2025","5","webkit","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
