"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 23 07:29:05 GMT 2025","Sun Feb 23 07:29:06 GMT 2025","990","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 23 07:29:48 GMT 2025","Sun Feb 23 07:29:49 GMT 2025","1319","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"broken","Sun Feb 23 07:29:37 GMT 2025","Sun Feb 23 07:29:47 GMT 2025","10170","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 23 07:30:14 GMT 2025","Sun Feb 23 07:30:16 GMT 2025","2231","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 23 07:29:50 GMT 2025","Sun Feb 23 07:29:51 GMT 2025","562","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 23 07:29:51 GMT 2025","Sun Feb 23 07:29:52 GMT 2025","1555","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 23 07:29:13 GMT 2025","Sun Feb 23 07:29:15 GMT 2025","1753","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 23 07:29:13 GMT 2025","Sun Feb 23 07:29:13 GMT 2025","406","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
