"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 23:49:22 GMT 2025","Fri Mar 07 23:49:24 GMT 2025","2345","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Fri Mar 07 23:49:09 GMT 2025","Fri Mar 07 23:49:09 GMT 2025","327","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Fri Mar 07 23:49:19 GMT 2025","Fri Mar 07 23:49:19 GMT 2025","627","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:49:10 GMT 2025","Fri Mar 07 23:49:10 GMT 2025","526","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"passed","Fri Mar 07 23:49:17 GMT 2025","Fri Mar 07 23:49:18 GMT 2025","1264","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:49:15 GMT 2025","Fri Mar 07 23:49:17 GMT 2025","2002","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Fri Mar 07 23:49:11 GMT 2025","Fri Mar 07 23:49:11 GMT 2025","570","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:49:11 GMT 2025","Fri Mar 07 23:49:12 GMT 2025","509","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:49:19 GMT 2025","Fri Mar 07 23:49:22 GMT 2025","2568","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Fri Mar 07 23:49:12 GMT 2025","Fri Mar 07 23:49:15 GMT 2025","2522","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
