"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 03 17:51:40 GMT 2025","Mon Feb 03 17:51:43 GMT 2025","2615","chromium","search.func.spec.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name",""
"passed","Mon Feb 03 17:51:43 GMT 2025","Mon Feb 03 17:51:43 GMT 2025","128","chromium","template.spec.ts","Test Suite Name","","","Unique Test Name",""
"passed","Mon Feb 03 17:51:39 GMT 2025","Mon Feb 03 17:51:40 GMT 2025","561","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Mon Feb 03 17:51:40 GMT 2025","Mon Feb 03 17:51:40 GMT 2025","453","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
