"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 23:16:51 GMT 2025","Fri Mar 07 23:16:51 GMT 2025","327","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"passed","Fri Mar 07 23:16:57 GMT 2025","Fri Mar 07 23:16:57 GMT 2025","499","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:16:58 GMT 2025","Fri Mar 07 23:16:59 GMT 2025","1422","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Fri Mar 07 23:16:52 GMT 2025","Fri Mar 07 23:16:53 GMT 2025","358","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:16:52 GMT 2025","Fri Mar 07 23:16:52 GMT 2025","406","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:16:55 GMT 2025","Fri Mar 07 23:16:57 GMT 2025","1257","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Fri Mar 07 23:16:53 GMT 2025","Fri Mar 07 23:16:54 GMT 2025","1220","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Fri Mar 07 23:16:54 GMT 2025","Fri Mar 07 23:16:55 GMT 2025","997","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Fri Mar 07 23:16:59 GMT 2025","Fri Mar 07 23:17:00 GMT 2025","1233","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Fri Mar 07 23:16:19 GMT 2025","Fri Mar 07 23:16:50 GMT 2025","31382","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
