"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 03 17:45:17 GMT 2025","Mon Feb 03 17:45:17 GMT 2025","424","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Mon Feb 03 17:45:16 GMT 2025","Mon Feb 03 17:45:16 GMT 2025","504","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Mon Feb 03 17:45:17 GMT 2025","Mon Feb 03 17:45:19 GMT 2025","2026","chromium","search.func.spec.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name",""
"passed","Mon Feb 03 17:45:19 GMT 2025","Mon Feb 03 17:45:19 GMT 2025","119","chromium","template.spec.ts","Test Suite Name","","","Unique Test Name",""
